Word 1,Word 2,Human (mean),FSPL,BSPL,ASPL
grocery,money,5.94,8,3,5.5
registration,arrangement,6,5,5,5
arrangement,accommodation,5.41,5,4,4.5
month,hotel,1.81,3,3,3
type,kind,8.97,6,6,6
arrival,hotel,6,3,8,5.5
bed,closet,6.72,3,3,3
closet,clothes,8,2,3,2.5
situation,conclusion,4.81,6,6,6
situation,isolation,3.88,5,6,5.5
impartiality,interest,5.16,3,3,3
direction,combination,2.25,3,6,4.5
street,place,6.44,4,2,3
street,avenue,8.88,4,1,2.5
street,block,6.88,4,4,4
street,children,4.94,3,8,5.5
listing,proximity,2.56,5,8,6.5
listing,category,6.38,6,8,7
cell,phone,7.81,4,6,5
production,hike,1.75,6,6,6
benchmark,index,4.25,4,5,4.5
media,trading,3.88,5,5,5
media,gain,2.88,5,21,13
dividend,payment,7.63,2,2,2
dividend,calculation,6.48,3,3,3
calculation,computation,8.44,1,1,1
currency,market,7.5,4,2,3
OPEC,oil,8.59,2,2,2
oil,stock,6.34,3,3,3
announcement,production,3.38,6,5,5.5
announcement,warning,6,6,5,5.5
profit,warning,3.88,5,5,5
profit,loss,7.63,5,5,5
dollar,yen,7.78,8,4,6
dollar,buck,9.22,1,1,1
dollar,profit,7.38,8,8,8
dollar,loss,6.09,4,4,4
computer,software,8.5,1,8,4.5
network,hardware,8.31,6,5,5.5
phone,equipment,7.13,6,2,4
equipment,maker,5.91,6,6,6
luxury,car,6.47,3,5,4
five,month,3.38,3,3,3
report,gain,3.63,5,8,6.5
investor,earning,7.13,4,4,4
liquid,water,7.89,1,1,1
baseball,season,5.97,2,2,2
game,victory,7.03,2,2,2
game,team,7.69,2,8,5
marathon,sprint,7.47,4,8,6
game,series,6.19,5,8,6.5
game,defeat,6.97,3,3,3
seven,series,3.56,6,8,7
seafood,sea,7.47,2,1,1.5
seafood,food,8.34,1,4,2.5
seafood,lobster,8.7,1,1,1
lobster,food,7.81,2,4,3
lobster,wine,5.7,3,3,3
food,preparation,6.22,1,1,1
video,archive,6.34,4,2,3
start,year,4.06,4,4,4
start,match,4.47,4,4,4
game,round,5.97,4,4,4
boxing,round,7.61,2,2,2
championship,tournament,8.36,1,2,1.5
fighting,defeating,7.41,8,8,8
line,insurance,2.69,5,5,5
day,summer,3.94,2,3,2.5
summer,drought,7.16,2,2,2
summer,nature,5.63,3,2,2.5
day,dawn,7.53,1,4,2.5
nature,environment,8.31,3,3,3
environment,ecology,8.81,1,2,1.5
nature,man,6.25,2,2,2
man,woman,8.3,1,8,4.5
man,governor,5.25,3,3,3
murder,manslaughter,8.53,8,1,4.5
soap,opera,7.94,4,3,3.5
opera,performance,6.88,2,1,1.5
life,lesson,5.94,4,3,3.5
focus,life,4.06,3,4,3.5
production,crew,6.25,3,6,4.5
television,film,7.72,2,8,5
lover,quarrel,6.19,5,5,5
viewer,serial,2.97,6,8,7
possibility,girl,1.94,3,5,4
population,development,3.75,4,3,3.5
morality,importance,3.31,3,3,3
morality,marriage,3.69,2,2,2
Mexico,Brazil,7.44,8,1,4.5
gender,equality,6.41,5,2,3.5
change,attitude,5.44,5,5,5
family,planning,6.25,6,3,4.5
opera,industry,2.63,3,8,5.5
sugar,approach,0.88,5,4,4.5
practice,institution,3.19,3,8,5.5
ministry,culture,4.69,2,5,3.5
problem,challenge,6.75,3,3,3
size,prominence,5.31,3,6,4.5
country,citizen,7.31,8,2,5
planet,people,5.75,3,3,3
development,issue,3.97,6,5,5.5
experience,music,3.47,2,8,5
music,project,3.63,8,3,5.5
glass,metal,5.56,2,2,2
aluminum,metal,7.83,2,2,2
chance,credibility,3.88,3,5,4
exhibit,memorabilia,5.31,4,6,5
concert,virtuoso,6.81,2,3,2.5
rock,jazz,7.59,3,4,3.5
museum,theater,7.19,8,3,5.5
observation,architecture,4.38,2,2,2
space,world,6.53,4,3,3.5
preservation,world,6.19,3,7,5
admission,ticket,7.69,6,5,5.5
shower,thunderstorm,6.31,3,3,3
shower,flood,6.03,3,2,2.5
weather,forecast,8.34,3,3,3
disaster,area,6.25,3,3,3
governor,office,6.34,3,3,3
architecture,century,3.78,3,3,3
